Nome,Nascimento,CPF,Email,Servidor,Setor,Salário,Filial,,Nome,João Martins
Sergio Marques,9/20/1998,753.507.598-69,sergiomarques@gmail.com,gmail,Marketing,R$ 5.750,São Paulo,,Setor,
Helder Santos,10/19/1957,987.852.710-43,heldersantos@live.com,live,Compras,R$ 5.000,Rio De Janeiro,,Filial,
Italo Freitas,11/1/2001,874.732.153-35,italofreitas@hotmail.com,hotmail,Comercial,R$ 3.000,Rondônia,,,
João Martins,11/16/1992,123.456.789-21,karinaalberti@outlook.com,outlook,Marketing,R$ 10.250,Alagoas,,CPF,102.383.768-41
Glayson Dias,5/13/1956,592.848.899-52,glaysondias@outlook.com,outlook,Marketing,R$ 4.750,Rondônia,,Email,
Jefferson Portnoi,1/4/1959,594.410.831-50,jeffersonportnoi@globo.com,globo,Comercial,R$ 11.250,Amazonas,,Salário,
Lourival Carneiro,7/11/1969,731.211.694-41,lourivalcarneiro@gmail.com,gmail,Administrativo,R$ 10.500,Minas Gerais,,,
Fernando Santos,2/3/1951,102.383.768-41,fernandosantos@gmail.com,gmail,Compras,R$ 2.500,Minas Gerais,,,
Iran Nogueira,12/21/1955,579.137.963-29,irannogueira@gmail.com,gmail,Comercial,R$ 18.250,Bahia,,,
Fagner Hausmann,9/12/1990,717.193.520-55,fagnerhausmann@terra.com,terra,Administrativo,R$ 4.500,Rio Grande Do Sul,,,
José Sousa,12/24/1968,457.249.627-09,josésousa@uol.com,uol,Financeiro,R$ 24.250,Rio Grande Do Sul,,,
Graziela Salles,7/28/1980,439.827.785-16,grazielasalles@gmail.com,gmail,Marketing,R$ 8.000,Pará,,,
Beatriz Abreu,3/20/1963,166.810.760-52,beatrizabreu@gmail.com,gmail,Administrativo,R$ 21.750,Amapá,,,
Marcos Passos,11/8/1982,942.820.579-54,marcospassos@live.com,live,Gestão,R$ 25.000,Rondônia,,,
Gabriele Aguiar,7/12/1995,437.999.113-29,gabrieleaguiar@terra.com,terra,Gestão,R$ 7.250,Amazonas,,,
Vanessa Fontes,6/10/1999,386.957.054-51,vanessafontes@hotmail.com,hotmail,Administrativo,R$ 18.000,Rio De Janeiro,,,
Lucas Ferreira,6/28/1961,892.248.800-35,lucasferreira@uol.com,uol,Compras,R$ 4.000,Bahia,,,
Leticia Naves,6/1/1988,840.543.193-72,leticianaves@gmail.com,gmail,Compras,R$ 24.500,Rio De Janeiro,,,
Raíssa Ferreira,11/18/1998,602.994.594-40,raíssaferreira@terra.com,terra,Marketing,R$ 6.500,Rondônia,,,
Ana Joanucci,3/31/1996,676.219.286-59,anajoanucci@globo.com,globo,Marketing,R$ 27.500,Bahia,,,
Daniel Grigorio,9/4/1956,417.409.364-85,danielgrigorio@globo.com,globo,Financeiro,R$ 6.250,Roraima,,,
Felipe Coutinho,9/17/1972,893.670.088-80,felipecoutinho@gmail.com,gmail,Financeiro,R$ 6.500,Bahia,,,
Fabricio Tamayo,6/29/1996,956.721.702-18,fabriciotamayo@gmail.com,gmail,Administrativo,R$ 27.000,Pernambuco,,,
Amanda Sousa,12/27/1957,135.832.922-38,amandasousa@hotmail.com,hotmail,Financeiro,R$ 4.750,São Paulo,,,
Vitória Nascimento,2/7/1960,706.673.659-94,vitórianascimento@live.com,live,Administrativo,R$ 4.500,Amapá,,,
